"SUID","biogrid.ALIASES","biogrid.BIOGRID_ID","biogrid.ENTREZ_GENE","biogrid.OFFICIAL_SYMBOL","biogrid.ORGANISM_ID","biogrid.SYSTEMATIC_NAME","canonicalName","ID","name","selected","shared name"
"62","ASCR|AltPrP|CD230|CJD|GSS|KURU|PRIP|PrP|PrP27-30|PrP33-35C|PrPc|p27-30","111606","5621","PRNP","9606","RP5-1068H6.2","PRNP","5621","PRNP","false","PRNP"
"63","NDNL1|PWLS|nM15","120036","54551","MAGEL2","9606",,"MAGEL2","54551","MAGEL2","false","MAGEL2"
"64","TESS|TESS-2","117572","26136","TES","9606",,"TES","26136","TES","false","TES"
"65","BHLHb31|CHF2|HERP2|HESR1|HRT-1|OAF1|hHRT1","117025","23462","HEY1","9606",,"HEY1","23462","HEY1","false","HEY1"
"66","DRR1|TU3A","116341","11170","FAM107A","9606",,"FAM107A","11170","FAM107A","false","FAM107A"
"67","RS1","112162","6248","RSC1A1","9606",,"RSC1A1","6248","RSC1A1","false","RSC1A1"
"68","ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16","107463","1029","CDKN2A","9606",,"CDKN2A","1029","CDKN2A","false","CDKN2A"
"69","G3BP|HDH-VIII","115448","10146","G3BP1","9606",,"G3BP1","10146","G3BP1","false","G3BP1"
"70","HNF3A|TCF3A","109411","3169","FOXA1","9606",,"FOXA1","3169","FOXA1","false","FOXA1"
"71","C1orf22","123207","80267","EDEM3","9606",,"EDEM3","80267","EDEM3","false","EDEM3"
"72","PORIN|VDAC-1","113259","7416","VDAC1","9606",,"VDAC1","7416","VDAC1","false","VDAC1"
"73","ACACT|ACAT|ACAT-1|ACAT1|SOAT|STAT","112529","6646","SOAT1","9606","RP11-215I23.1","SOAT1","6646","SOAT1","false","SOAT1"
"74","PDHA|PDHAD|PDHCE1A|PHE1A","111186","5160","PDHA1","9606","RP11-723P2.1","PDHA1","5160","PDHA1","false","PDHA1"
"75","DLTS","108087","1743","DLST","9606",,"DLST","1743","DLST","false","DLST"
"76","DLDD|DLDH|E3|GCSL|LAD|PHE3","108082","1738","DLD","9606","tcag7.39","DLD","1738","DLD","false","DLD"
"77","CEMCOX2","107747","1355","COX15","9606",,"COX15","1355","COX15","false","COX15"
"78","","125479","116143","WDR92","9606",,"WDR92","116143","WDR92","false","WDR92"
"79","C19orf2|NNX3|PPP1R19|RMP|URI","114264","8725","URI1","9606",,"URI1","8725","URI1","false","URI1"
"80","","123908","84138","SLC7A6OS","9606",,"SLC7A6OS","84138","SLC7A6OS","false","SLC7A6OS"
"81","HMGA1L4|HMGIYL4|IES2|PAP-1BP|PAPA-1|ZNHIT4|hIes2","123646","83444","INO80B","9606",,"INO80B","83444","INO80B","false","INO80B"
"82","C11orf5|FON","107200","741","ZNHIT2","9606",,"ZNHIT2","741","ZNHIT2","false","ZNHIT2"
"83","","112684","6815","STYX","9606",,"STYX","6815","STYX","false","STYX"
"84","BRSS|CDMT|CYLD1|CYLDI|EAC|MFT|MFT1|SBS|TEM|USPL2","107920","1540","CYLD","9606","HSPC057","CYLD","1540","CYLD","false","CYLD"
"85","FGQTL2|MEL-1B-R|MT2","110640","4544","MTNR1B","9606",,"MTNR1B","4544","MTNR1B","false","MTNR1B"
"86","MEL-1A-R|MT1","110639","4543","MTNR1A","9606",,"MTNR1A","4543","MTNR1A","false","MTNR1A"
"87","C23","110771","4691","NCL","9606",,"NCL","4691","NCL","false","NCL"
"88","CORS1|CPD4|JBTS1|MORMS|PPI5PIV","121159","56623","INPP5E","9606",,"INPP5E","56623","INPP5E","false","INPP5E"
"89","AIE-75|DFNB18|DFNB18A|NY-CO-37|NY-CO-38|PDZ-45|PDZ-73|PDZ-73/NY-CO-38|PDZ73|PDZD7C|ush1cpst","115392","10083","USH1C","9606",,"USH1C","10083","USH1C","false","USH1C"
"90","TDRD11|p100","117974","27044","SND1","9606",,"SND1","27044","SND1","false","SND1"
"91","LSM16|YJDC|YJEFN2","123144","80153","EDC3","9606","PP844","EDC3","80153","EDC3","false","EDC3"
"92","PEPP-2|PEPP2","119982","54477","PLEKHA5","9606",,"PLEKHA5","54477","PLEKHA5","false","PLEKHA5"
"93","GYF2|PARK11|PERQ2|PERQ3|TNRC15","117520","26058","GIGYF2","9606",,"GIGYF2","26058","GIGYF2","false","GIGYF2"
"94","CAMSAP1L1","116872","23271","CAMSAP2","9606","RP11-93N17.1","CAMSAP2","23271","CAMSAP2","false","CAMSAP2"
"95","HSP 75|HSP75|HSP90L|TRAP-1","115435","10131","TRAP1","9606",,"TRAP1","10131","TRAP1","false","TRAP1"
"96","EBP1|HG4-1|p38-2G4","111075","5036","PA2G4","9606",,"PA2G4","5036","PA2G4","false","PA2G4"
"97","CDC25|PPP1R60","107430","995","CDC25C","9606",,"CDC25C","995","CDC25C","false","CDC25C"
"98","BOG25|TTP","117194","23677","SH3BP4","9606",,"SH3BP4","23677","SH3BP4","false","SH3BP4"
"99","BRCC3|XTP1","120903","55789","DEPDC1B","9606",,"DEPDC1B","55789","DEPDC1B","false","DEPDC1B"
"100","AF6","110447","4301","MLLT4","9606",,"MLLT4","4301","MLLT4","false","MLLT4"
"101","","126828","144100","PLEKHA7","9606","hCG_2040524","PLEKHA7","144100","PLEKHA7","false","PLEKHA7"
"102","HPK38","115171","9833","MELK","9606","RP11-8N6.1","MELK","9833","MELK","false","MELK"
"103","NGAP","114848","9462","RASAL2","9606","RP4-593C16.1","RASAL2","9462","RASAL2","false","RASAL2"
"104","C22orf2|CBY|HS508I15A|PGEA1|PIGEA-14|PIGEA14|arb1","117311","25776","CBY1","9606","RP3-508I15.8","CBY1","25776","CBY1","false","CBY1"
"105","NFNS|VRNF|WSS","110836","4763","NF1","9606",,"NF1","4763","NF1","false","NF1"
"106","MLK4|dJ862P8.3","124089","84451","KIAA1804","9606","RP5-862P8.2","KIAA1804","84451","KIAA1804","false","KIAA1804"
"107","","115181","9846","GAB2","9606",,"GAB2","9846","GAB2","false","GAB2"
"108","dJ283E3.1","122408","65220","NADK","9606","RP1-283E3.6","NADK","65220","NADK","false","NADK"
"109","LL5b|LL5beta","124661","90102","PHLDB2","9606",,"PHLDB2","90102","PHLDB2","false","PHLDB2"
"110","","112930","7074","TIAM1","9606",,"TIAM1","7074","TIAM1","false","TIAM1"
"111","71-7A|CXorf5|JBTS10|RP23|SGBS2","114055","8481","OFD1","9606",,"OFD1","8481","OFD1","false","OFD1"
"112","TpMs","123987","84260","TCHP","9606",,"TCHP","84260","TCHP","false","TCHP"
"113","","112227","6322","SCML1","9606","RP3-389A20.1","SCML1","6322","SCML1","false","SCML1"
"114","COBLR1","116511","22837","COBLL1","9606",,"COBLL1","22837","COBLL1","false","COBLL1"
"115","NYD-SP15|bA103J18.1","123540","81602","CDADC1","9606","RP11-103J18.2","CDADC1","81602","CDADC1","false","CDADC1"
"116","RABIN3","125566","117177","RAB3IP","9606",,"RAB3IP","117177","RAB3IP","false","RAB3IP"
"117","","121589","57530","CGN","9606","RP11-74C1.3","CGN","57530","CGN","false","CGN"
"118","C9orf55|C9orf55B|bA513M16.3","120799","55667","DENND4C","9606","RP11-513M16.1","DENND4C","55667","DENND4C","false","DENND4C"
"119","HOM-TES-103|IFFO","117407","25900","IFFO1","9606",,"IFFO1","25900","IFFO1","false","IFFO1"
"120","JEAP","127559","154810","AMOTL1","9606",,"AMOTL1","154810","AMOTL1","false","AMOTL1"
"121","","112156","6242","RTKN","9606",,"RTKN","6242","RTKN","false","RTKN"
"122","","116670","23031","MAST3","9606",,"MAST3","23031","MAST3","false","MAST3"
"123","JC310|MIP1|SIN1|SIN1b|SIN1g","122551","79109","MAPKAP1","9606","RP11-269P11.1","MAPKAP1","79109","MAPKAP1","false","MAPKAP1"
"124","ARHCL1|NERPP-2C|URCC2","121530","57460","PPM1H","9606",,"PPM1H","57460","PPM1H","false","PPM1H"
"125","MG81|OATL1","110997","4943","TBC1D25","9606",,"TBC1D25","4943","TBC1D25","false","TBC1D25"
"126","C20orf55|F10|bA371L19.3","123674","83541","FAM110A","9606",,"FAM110A","83541","FAM110A","false","FAM110A"
"127","C5orf6","119458","51307","FAM53C","9606",,"FAM53C","51307","FAM53C","false","FAM53C"
"128","ANKRD34","129917","284615","ANKRD34A","9606",,"ANKRD34A","284615","ANKRD34A","false","ANKRD34A"
"129","C8orf72","124703","90362","FAM110B","9606",,"FAM110B","90362","FAM110B","false","FAM110B"
"130","","107429","994","CDC25B","9606","RP5-1009E24.3","CDC25B","994","CDC25B","false","CDC25B"
"131","AGAP-1|CENTG2|GGAP1|cnt-g2","125550","116987","AGAP1","9606",,"AGAP1","116987","AGAP1","false","AGAP1"
"132","7h3","124489","85360","SYDE1","9606",,"SYDE1","85360","SYDE1","false","SYDE1"
"133","SFRS13B|SFRS19|SRrp35","126428","135295","SRSF12","9606","RP11-63L7.3","SRSF12","135295","SRSF12","false","SRSF12"
"134","NP220|ZFML|Zfp638","118145","27332","ZNF638","9606",,"ZNF638","27332","ZNF638","false","ZNF638"
"135","CL1|CLICK1|DCAMKL1|DCDC3A|DCLK","114635","9201","DCLK1","9606","RP11-113P14.1","DCLK1","9201","DCLK1","false","DCLK1"
"136","","115689","10420","TESK2","9606",,"TESK2","10420","TESK2","false","TESK2"
"137","AIP-3|AIP3|BAIAP1|BAP-1|BAP1|MAGI-1|Magi1d|TNRC19|WWP3","114655","9223","MAGI1","9606","RP11-88H12.2","MAGI1","9223","MAGI1","false","MAGI1"
"138","EPLIN|SREBP3","119559","51474","LIMA1","9606","PP624","LIMA1","51474","LIMA1","false","LIMA1"
"139","E6TP1","117503","26037","SIPA1L1","9606",,"SIPA1L1","26037","SIPA1L1","false","SIPA1L1"
"140","4E-LP|4EHP|EIF4EL3|IF4e","114856","9470","EIF4E2","9606",,"EIF4E2","9470","EIF4E2","false","EIF4E2"
"141","ARHGAP34|FNBP2|SRGAP2A|SRGAP3","116956","23380","SRGAP2","9606","RP11-312O7.2","SRGAP2","23380","SRGAP2","false","SRGAP2"
"142","FISH|SH3MD1|TKS5","115002","9644","SH3PXD2A","9606",,"SH3PXD2A","9644","SH3PXD2A","false","SH3PXD2A"
"143","FAM31A|KIAA1608","121730","57706","DENND1A","9606","RP11-230L22.3","DENND1A","57706","DENND1A","false","DENND1A"
"144","SALM2","121668","57622","LRFN1","9606",,"LRFN1","57622","LRFN1","false","LRFN1"
"145","GYF1|PERQ1","122218","64599","GIGYF1","9606","PP3360","GIGYF1","64599","GIGYF1","false","GIGYF1"
"146","KSR|RSU2","114371","8844","KSR1","9606",,"KSR1","8844","KSR1","false","KSR1"
"147","GAKIN","116895","23303","KIF13B","9606",,"KIF13B","23303","KIF13B","false","KIF13B"
"148","NY-REN-45","119320","51133","KCTD3","9606","RP11-5F19.1","KCTD3","51133","KCTD3","false","KCTD3"
"149","76P|GCP-4|GCP4|Grip76","118078","27229","TUBGCP4","9606",,"TUBGCP4","27229","TUBGCP4","false","TUBGCP4"
"150","PA-PLA1|PAPLA1|SPG28","123318","80821","DDHD1","9606",,"DDHD1","80821","DDHD1","false","DDHD1"
"151","INT|PDZD6|PDZK6","118034","27152","INTU","9606",,"INTU","27152","INTU","false","INTU"
"152","DNCL1B|Dlc2|RSPH22","126680","140735","DYNLL2","9606",,"DYNLL2","140735","DYNLL2","false","DYNLL2"
"153","BND7|EPB7|EPB72","108354","2040","STOM","9606","RP11-342H3.1","STOM","2040","STOM","false","STOM"
"154","FRAP|FRAP1|FRAP2|RAFT1|RAPT1","108757","2475","MTOR","9606",,"MTOR","2475","MTOR","false","MTOR"
"155","ARVC2|ARVD2|RYR-2|RyR|VTSIP","112174","6262","RYR2","9606","RP4-626J7.1","RYR2","6262","RYR2","false","RYR2"
"156","PTP9Q22","126515","138639","PTPDC1","9606","RP11-490F3.2","PTPDC1","138639","PTPDC1","false","PTPDC1"
"157","REIC|RIG","118013","27122","DKK3","9606","UNQ258/PRO295","DKK3","27122","DKK3","false","DKK3"
"158","CSP2|DSCR1L1|MCIP2|RCN2|ZAKI-4|ZAKI4","115525","10231","RCAN2","9606","RP11-38F19.1","RCAN2","10231","RCAN2","false","RCAN2"
"159","ARK","120146","54778","RNF111","9606",,"RNF111","54778","RNF111","false","RNF111"
"160","","122749","79616","CCNJL","9606",,"CCNJL","79616","CCNJL","false","CCNJL"
"161","MORG1","124019","84292","WDR83","9606",,"WDR83","84292","WDR83","false","WDR83"
"162","","131480","347730","LRRTM1","9606","UNQ675/PRO1309","LRRTM1","347730","LRRTM1","false","LRRTM1"
"163","","113111","7260","TSSC1","9606",,"TSSC1","7260","TSSC1","false","TSSC1"
"164","SEC31B-1|SEC31L2","117447","25956","SEC31B","9606",,"SEC31B","25956","SEC31B","false","SEC31B"
"165","C15orf3|CRI1|EID-1|IRO45620|PTD014|RBP21","117243","23741","EID1","9606","PNAS-22","EID1","23741","EID1","false","EID1"
"166","FROUNT|Nup75","122985","79902","NUP85","9606",,"NUP85","79902","NUP85","false","NUP85"
"167","C22orf5|FM08|HS5O6A","117357","25829","TMEM184B","9606","CTA-447C4.2","TMEM184B","25829","TMEM184B","false","TMEM184B"
"168","ASB-3","119317","51130","ASB3","9606",,"ASB3","51130","ASB3","false","ASB3"
"169","IBRDC3|NKLAM","126065","127544","RNF19B","9606",,"RNF19B","127544","RNF19B","false","RNF19B"
"170","HEL107|TK|TKT1","112941","7086","TKT","9606",,"TKT","7086","TKT","false","TKT"
"171","C10orf119|MCM-BP","122976","79892","MCMBP","9606",,"MCMBP","79892","MCMBP","false","MCMBP"
"172","CT133|HSPB10|ODF|ODF2|ODF27|ODFP|ODFPG|ODFPGA|ODFPGB|RT7|SODF","111009","4956","ODF1","9606",,"ODF1","4956","ODF1","false","ODF1"
"173","","118173","27440","CECR5","9606",,"CECR5","27440","CECR5","false","CECR5"
"174","LRH-1|P2X5|P2X5R","111065","5026","P2RX5","9606",,"P2RX5","5026","P2RX5","false","P2RX5"
"175","GAL7|LGALS7A","110154","3963","LGALS7","9606",,"LGALS7","3963","LGALS7","false","LGALS7"
"176","HOAT4|OAT4|OAT7|UST3H|ust3","125322","114571","SLC22A9","9606",,"SLC22A9","114571","SLC22A9","false","SLC22A9"
"177","CLAPS3|Sigma3A","107590","1176","AP3S1","9606",,"AP3S1","1176","AP3S1","false","AP3S1"
"178","ACC-4|ACC-5|CPSB|minichain","107892","1512","CTSH","9606",,"CTSH","1512","CTSH","false","CTSH"
"179","ALPS4|CMNS|N-ras|NCMS|NRAS1|NS6","110952","4893","NRAS","9606","RP5-1000E10.2","NRAS","4893","NRAS","false","NRAS"
"180","ARCI3|E-LOX|eLOX-3|eLOX3","121886","59344","ALOXE3","9606",,"ALOXE3","59344","ALOXE3","false","ALOXE3"
"181","ZIC|ZNF201","113377","7545","ZIC1","9606",,"ZIC1","7545","ZIC1","false","ZIC1"
"182","Nbla04261","107441","1006","CDH8","9606",,"CDH8","1006","CDH8","false","CDH8"
"183","BRICD2A|E25A","114841","9452","ITM2A","9606","RP4-696H22.1","ITM2A","9452","ITM2A","false","ITM2A"
"184","","122588","79171","RBM42","9606",,"RBM42","79171","RBM42","false","RBM42"
"185","9130403P13Rik|LOH12CR3","120101","54682","MANSC1","9606","UNQ316/PRO361","MANSC1","54682","MANSC1","false","MANSC1"
"186","H-IDHG","109647","3421","IDH3G","9606","hCG_2004980","IDH3G","3421","IDH3G","false","IDH3G"
"187","BCSC-1|BCSC1|LOH11CR2A","110197","4013","VWA5A","9606",,"VWA5A","4013","VWA5A","false","VWA5A"
"188","GLUT12|GLUT8","127535","154091","SLC2A12","9606",,"SLC2A12","154091","SLC2A12","false","SLC2A12"
"189","G2AN|GLUII","116802","23193","GANAB","9606",,"GANAB","23193","GANAB","false","GANAB"
"190","GCC185|RANBP2L4|REN53","115006","9648","GCC2","9606",,"GCC2","9648","GCC2","false","GCC2"
"191","AADACL1|NCEH","121608","57552","NCEH1","9606",,"NCEH1","57552","NCEH1","false","NCEH1"
"192","","125216","112937","GLB1L3","9606",,"GLB1L3","112937","GLB1L3","false","GLB1L3"
"193","SCOTT","122037","64064","OXCT2","9606","FKSG25","OXCT2","64064","OXCT2","false","OXCT2"
"194","HLS5|MAIR","116716","23087","TRIM35","9606",,"TRIM35","23087","TRIM35","false","TRIM35"
"195","GXPLA2|GXSPLA2|SPLA2","113987","8399","PLA2G10","9606",,"PLA2G10","8399","PLA2G10","false","PLA2G10"
"196","ASPRS|LBSL|MT-ASPRS","120459","55157","DARS2","9606","RP3-383J4.2","DARS2","55157","DARS2","false","DARS2"
"197","L16mt|MRP-L16","120287","54948","MRPL16","9606","PNAS-111","MRPL16","54948","MRPL16","false","MRPL16"
"198","Rpn6|S9|p44.5","111689","5717","PSMD11","9606",,"PSMD11","5717","PSMD11","false","PSMD11"
"199","","122537","79089","TMUB2","9606","FP2653","TMUB2","79089","TMUB2","false","TMUB2"
"200","ADP|DCAF9","116677","23038","WDTC1","9606","RP11-4K3__A.1","WDTC1","23038","WDTC1","false","WDTC1"
"201","BB2|CD54|P3.58","109610","3383","ICAM1","9606",,"ICAM1","3383","ICAM1","false","ICAM1"
"202","DERP2|HSPC282|MICS1|PTD010|TMBIM5","117980","27069","GHITM","9606","My021","GHITM","27069","GHITM","false","GHITM"
"203","MLASA2|MT-TYRRS|TYRRS","119258","51067","YARS2","9606","CGI-04","YARS2","51067","YARS2","false","YARS2"
"204","PSORS12|ZNF313","120991","55905","RNF114","9606",,"RNF114","55905","RNF114","false","RNF114"
"205","B7-H6|B7H6|DKFZp686O24166","131895","374383","NCR3LG1","9606",,"NCR3LG1","374383","NCR3LG1","false","NCR3LG1"
"206","MG29","129915","284612","SYPL2","9606","UNQ6348","SYPL2","284612","SYPL2","false","SYPL2"
"207","IGA|MB-1","107411","973","CD79A","9606",,"CD79A","973","CD79A","false","CD79A"
"208","GGL|GGT 5|GGT-REL|GGTLA1","108954","2687","GGT5","9606",,"GGT5","2687","GGT5","false","GGT5"
"209","CDPX2|CHO2|CPX|CPXD","115921","10682","EBP","9606",,"EBP","10682","EBP","false","EBP"
"210","THO3|hTREX45","124047","84321","THOC3","9606",,"THOC3","84321","THOC3","false","THOC3"
"211","5-HT-3|5-HT3A|5-HT3R|5HT3R|HTR3","109591","3359","HTR3A","9606",,"HTR3A","3359","HTR3A","false","HTR3A"
"212","","120199","54849","DEF8","9606",,"DEF8","54849","DEF8","false","DEF8"
"213","C6orf55|DRG-1|DRG1|LIP5|My012|SBP1","119595","51534","VTA1","9606","HSPC228","VTA1","51534","VTA1","false","VTA1"
"214","C5L2|GPF77|GPR77","118077","27202","C5AR2","9606",,"C5AR2","27202","C5AR2","false","C5AR2"
"215","IP|PRIPR","111711","5739","PTGIR","9606",,"PTGIR","5739","PTGIR","false","PTGIR"
"216","","114591","9144","SYNGR2","9606","UNQ352/PRO615","SYNGR2","9144","SYNGR2","false","SYNGR2"
"217","CGAT|VAT1|VMAT1","112458","6570","SLC18A1","9606",,"SLC18A1","6570","SLC18A1","false","SLC18A1"
"218","TBL1","124751","90665","TBL1Y","9606",,"TBL1Y","90665","TBL1Y","false","TBL1Y"
"219","ECP51|INO80J|REPTIN|RVB2|TIH2|TIP48|TIP49B","116067","10856","RUVBL2","9606","CGI-46","RUVBL2","10856","RUVBL2","false","RUVBL2"
"220","","131548","349136","WDR86","9606",,"WDR86","349136","WDR86","false","WDR86"
"221","FAM40A|FAR11A","124497","85369","STRIP1","9606",,"STRIP1","85369","STRIP1","false","STRIP1"
"222","UBA4","118127","27304","MOCS3","9606",,"MOCS3","27304","MOCS3","false","MOCS3"
"223","APACD|PHLP3","115487","10190","TXNDC9","9606",,"TXNDC9","10190","TXNDC9","false","TXNDC9"
"224","KV9.3","109991","3790","KCNS3","9606",,"KCNS3","3790","KCNS3","false","KCNS3"
"225","H2AB","130469","317772","HIST2H2AB","9606",,"HIST2H2AB","317772","HIST2H2AB","false","HIST2H2AB"
"226","BPH-RP|MCNAA|VACVASE","107138","670","BPHL","9606",,"BPHL","670","BPHL","false","BPHL"
"227","HCLP-1|HCLP1|LCP","117123","23588","KLHDC2","9606",,"KLHDC2","23588","KLHDC2","false","KLHDC2"
"228","C1orf69|MMDS3","128310","200205","IBA57","9606","RP11-520H14.5","IBA57","200205","IBA57","false","IBA57"
"229","MLASA1","123236","80324","PUS1","9606","PP8985","PUS1","80324","PUS1","false","PUS1"
"230","HD10","123818","83933","HDAC10","9606","RP3-402G11.7","HDAC10","83933","HDAC10","false","HDAC10"
"231","FBX15","128386","201456","FBXO15","9606",,"FBXO15","201456","FBXO15","false","FBXO15"
"232","CANDF5|CD217|CDw217|IL-17RA|IL17R|hIL-17R","117265","23765","IL17RA","9606",,"IL17RA","23765","IL17RA","false","IL17RA"
"233","ASRT7|CGP-39|GP-39|GP39|HC-gp39|HCGP-3P|YKL-40|YKL40|YYL-40|hCGP-39","107540","1116","CHI3L1","9606",,"CHI3L1","1116","CHI3L1","false","CHI3L1"
"234","","131495","347862","PDDC1","9606",,"PDDC1","347862","PDDC1","false","PDDC1"
"235","TMEM157|UNQ1912","131364","345757","FAM174A","9606","UNQ1912/PRO4371","FAM174A","345757","FAM174A","false","FAM174A"
"236","ABCD-1|DC/B-CK|MDC|SCYA22|STCP-1","112270","6367","CCL22","9606","A-152E5.1","CCL22","6367","CCL22","false","CCL22"
"237","BCS2|PFM2","116287","11107","PRDM5","9606",,"PRDM5","11107","PRDM5","false","PRDM5"
"238","RNF204|SPERIZIN|Ssrzf1|spzn","127116","148066","ZNRF4","9606",,"ZNRF4","148066","ZNRF4","false","ZNRF4"
"239","DFNA41|P2X2","116607","22953","P2RX2","9606",,"P2RX2","22953","P2RX2","false","P2RX2"
"240","C2GNT|C2GNT-L|C2GNT1|G6NT|NACGT2|NAGCT2","108920","2650","GCNT1","9606","RP11-214N16.1","GCNT1","2650","GCNT1","false","GCNT1"
"241","","133764","391004","PRAMEF17","9606","RP11-133N1.1","PRAMEF17","391004","PRAMEF17","false","PRAMEF17"
"242","","125066","93979","CPA5","9606",,"CPA5","93979","CPA5","false","CPA5"
"243","","128469","203427","SLC25A43","9606",,"SLC25A43","203427","SLC25A43","false","SLC25A43"
"244","COXPD1|EFG|EFG1|EFGM|EGF1|GFM|hEFG1","124551","85476","GFM1","9606",,"GFM1","85476","GFM1","false","GFM1"
"245","TAPP1","121880","59338","PLEKHA1","9606","RP11-436O19__A.1","PLEKHA1","59338","PLEKHA1","false","PLEKHA1"
"246","TSPAN21|UP1A|UPIA|UPKA","116233","11045","UPK1A","9606",,"UPK1A","11045","UPK1A","false","UPK1A"
"247","BTF4|RAP74|TF2F1|TFIIF","109217","2962","GTF2F1","9606",,"GTF2F1","2962","GTF2F1","false","GTF2F1"
"248","GALNAC6S|GAS|GalN6S|MPS4A","108860","2588","GALNS","9606",,"GALNS","2588","GALNS","false","GALNS"
"249","CDH20|FIB2|PCDH-GAMMA-B4","114193","8641","PCDHGB4","9606",,"PCDHGB4","8641","PCDHGB4","false","PCDHGB4"
"250","CT34|SGY|SGY-1|SGY1","118011","27120","DKKL1","9606","UNQ735/PRO1429","DKKL1","27120","DKKL1","false","DKKL1"
"251","CD150|CDw150|SLAM","112395","6504","SLAMF1","9606","RP11-528G1.4","SLAMF1","6504","SLAMF1","false","SLAMF1"
"252","CMD1II|CRYA2|CTPP2|CTRCT16|HEL-S-101|HSPB5|MFM2","107800","1410","CRYAB","9606",,"CRYAB","1410","CRYAB","false","CRYAB"
"253","","125816","123103","KLHL33","9606",,"KLHL33","123103","KLHL33","false","KLHL33"
"254","HP10390|MSAP|TMEM4|ZSIG9","115613","10330","CNPY2","9606","UNQ1943/PRO4426","CNPY2","10330","CNPY2","false","CNPY2"
"255","","126409","134553","C5orf24","9606",,"C5orf24","134553","C5orf24","false","C5orf24"
"256","ME1|PCDH-BETA16|PCDH3X|PCDHB8a","121740","57717","PCDHB16","9606",,"PCDHB16","57717","PCDHB16","false","PCDHB16"
"257","NK1R|NKIR|SPR|TAC1R","112732","6869","TACR1","9606",,"TACR1","6869","TACR1","false","TACR1"
"258","","117437","25940","FAM98A","9606",,"FAM98A","25940","FAM98A","false","FAM98A"
"259","CD120a|FPF|MS5|TBP1|TNF-R|TNF-R-I|TNF-R55|TNFAR|TNFR1|TNFR1-d2|TNFR55|TNFR60|p55|p55-R|p60","112986","7132","TNFRSF1A","9606",,"TNFRSF1A","7132","TNFRSF1A","false","TNFRSF1A"
"260","JMJD2B|TDRD14B","116669","23030","KDM4B","9606",,"KDM4B","23030","KDM4B","false","KDM4B"
"261","","114464","8974","P4HA2","9606","UNQ290/PRO330","P4HA2","8974","P4HA2","false","P4HA2"
"262","C6orf197","120772","55633","TBC1D22B","9606","RP4-744I24.2","TBC1D22B","55633","TBC1D22B","false","TBC1D22B"
"263","CD208|DC LAMP|DC-LAMP|DCLAMP|LAMP|LAMP-3|TSC403","117983","27074","LAMP3","9606",,"LAMP3","27074","LAMP3","false","LAMP3"
"264","","123982","84255","SLC37A3","9606",,"SLC37A3","84255","SLC37A3","false","SLC37A3"
"265","CD213A2|CT19|IL-13R|IL13BP","109812","3598","IL13RA2","9606",,"IL13RA2","3598","IL13RA2","false","IL13RA2"
"266","ATRC2|CAT2|HCAT2","112433","6542","SLC7A2","9606",,"SLC7A2","6542","SLC7A2","false","SLC7A2"
"267","LAP","106569","53","ACP2","9606",,"ACP2","53","ACP2","false","ACP2"
"268","IMP-4|IMP4|PSH4|PSL1","121255","56928","SPPL2B","9606",,"SPPL2B","56928","SPPL2B","false","SPPL2B"
"269","TPS2|tryptaseB|tryptaseC","122201","64499","TPSB2","9606",,"TPSB2","64499","TPSB2","false","TPSB2"
"270","DAMAGE|HCA1","121718","57692","MAGEE1","9606","RP4-596C3.1","MAGEE1","57692","MAGEE1","false","MAGEE1"
"271","C1orf25|MST070|TRM1L|bG120K12.3","123562","81627","TRMT1L","9606","MSTP070","TRMT1L","81627","TRMT1L","false","TRMT1L"
"272","ACCN4|BNAC4","120693","55515","ASIC4","9606",,"ASIC4","55515","ASIC4","false","ASIC4"
"273","AAAT|ASCT2|ATBO|M7V1|M7VS1|R16|RDRC","112401","6510","SLC1A5","9606",,"SLC1A5","6510","SLC1A5","false","SLC1A5"
"274","NCU-G1","125204","112770","C1orf85","9606","RP11-443G18.2","C1orf85","112770","C1orf85","false","C1orf85"
"275","CKIP-1|OC120","119355","51177","PLEKHO1","9606","RP11-458I7.3","PLEKHO1","51177","PLEKHO1","false","PLEKHO1"
"276","PRO2389|WDR23","123251","80344","DCAF11","9606","GL014","DCAF11","80344","DCAF11","false","DCAF11"
"277","BH-Pcdh|BHPCDH|PPP1R120","111132","5099","PCDH7","9606",,"PCDH7","5099","PCDH7","false","PCDH7"
"278","MEP-50|MEP50|Nbla10071|p44|p44/Mep50","122532","79084","WDR77","9606","HKMT1069","WDR77","79084","WDR77","false","WDR77"
"279","ACAM|ASAM|CSBM|CSBS","122919","79827","CLMP","9606","UNQ318/PRO363","CLMP","79827","CLMP","false","CLMP"
"280","SMR","127081","147719","LYPD4","9606","UNQ2552/PRO6181","LYPD4","147719","LYPD4","false","LYPD4"
"281","AIT|SMCT|SMCT1","127763","160728","SLC5A8","9606",,"SLC5A8","160728","SLC5A8","false","SLC5A8"
