© 2000-2018 QIAGEN. All rights reserved.

Ingenuity Canonical Pathways	 -log(B-H p-value)	Ratio	z-score	Molecules
Huntington's Disease Signaling	2.27E01	3.68E-01	NaN	POLR2F,PIK3R1,HSPA1A/HSPA1B,GNB5,HDAC10,HSPA5,UBE2S,AP2A2,CDK5R1,HDAC6,GNB1,MAP3K10,HSPA4,HDAC11,MAPK3,TCERG1,ATP5PB,RASA1,DNM2,POLR2I,ATP5PF,TP53,AKT2,HDAC4,HDAC2,CASP3,GRM1,ATP5F1A,FGFR1,HSPA9,CREBBP,CLTC,CREB3,TBP,POLR2H,FGFR2,ITPR1,STX1A,ATF2,HDAC5,HSPA8,BCL2L1,ATP5F1C,CAPN8,HDAC3,TAF4,ATP5F1B,POLR2E,CLTA,CAPN1,HTT,GNB2,CAPN2,SNCA,PACSIN1,POLR2B,ATP5F1E,EP300,TGM2,MTOR,POLR2A,AKT1,CDK5,SP1,NTRK1,CREB1,PRKCE,NCOR1,DNAJB1,CASP8,NAPB,EGFR,NEUROD1,HDAC9,GRIN2B,UBB,GRB2,SH3GL3,GLS,HDAC1,MAPK8,BAX,HIP1,PSME3,ZDHHC17,POLR2G,CAPNS1,HAP1,DCTN1,NCOR2,UBC,CASP7
Protein Ubiquitination Pathway	1.97E01	3.4E-01	NaN	CRYAB,UBE2A,USP5,PSMA7,UBR2,HLA-B,HSPA1A/HSPA1B,TRAP1,FBXW7,DNAJB2,UBE2S,HSPA5,ELOB,PSMC5,USP7,USP8,HSPA4,PAN2,SACS,UBE2E3,PSMC2,BRCA1,USP28,PSMA6,UBE4B,USP38,HSPA9,BIRC6,THOP1,USP50,HSPA8,TRAF6,PSMD11,PSMB7,ODF1,UBE2L3,CBL,UBE2G1,PSMA5,PSMB1,HSP90AA1,CRYAA/CRYAA2,SMURF2,UBE2E1,VHL,UBE2I,HSPB1,USP21,PSMB3,USP24,USP14,USP12,PSMD7,CDC20,HLA-A,UBE2N,CUL1,DNAJC13,USP54,DNAJA1,TAP1,SMURF1,HSP90B1,USP13,HSP90AB1,STUB1,PSMC6,USP47,HSPE1,UBE2K,PSMA3,PRKN,DNAJB1,AMFR,UBB,NEDD4,USP15,MED20,USP1,HSPD1,UBE3A,PSMC1,CUL2,USP22,PSMD2,USP46,BTRC,UBC,PSMC3,DNAJB5
PI3K/AKT Signaling	1.8E01	4.38E-01	NaN	GAB2,RAF1,YWHAH,PPP2CA,PIK3R1,GSK3A,KRAS,NOS3,PTEN,YWHAQ,IKBKB,IKBKG,MAPK3,PPM1J,GSK3B,ITGA4,TP53,RPS6KB1,CDC37,AKT2,RHEB,YWHAG,YWHAE,YWHAB,RALB,TYK2,YWHAZ,ITGA5,PPP2CB,BCL2L1,PPP2R1A,PPP2R2B,HSP90AA1,INPP5K,TSC1,RALA,PPP2R2A,ILK,INPPL1,EIF4E,BCL2,HSP90B1,MTOR,NFKBIA,AKT1,HSP90AB1,RPS6KB2,PPP2R2C,CHUK,CTNNB1,ITGB1,NRAS,GRB2,IKBKE,CDKN1A,SFN,PPP2R1B
Glucocorticoid Receptor Signaling	1.56E01	2.84E-01	NaN	CD247,RAF1,POLR2F,TGFBR1,PRKAB1,YWHAH,KRT7,PIK3R1,SMAD3,HSPA1A/HSPA1B,KRAS,ARID2,TAF10,HSPA5,FCGR1A,KRT36,HMGB1,IL1R2,IKBKB,HSPA4,IKBKG,MAPK3,SUMO1,SMARCC2,KRT31,POLR2I,TAF9,SMAD2,AKT2,MED1,FGFR1,HSPA9,RALB,CREBBP,TBP,POLR2H,FGFR2,GTF2F1,PCK1,STAT3,HSPA8,TRAF6,BCL2L1,TAF4,POLR2E,PRKACA,KRT85,HSP90AA1,KRT40,KRT15,ESR1,UBE2I,RALA,ICAM1,POLR2B,NR3C1,NFATC1,PTGES3,SMARCA4,BCL2,EP300,HSP90B1,GTF2B,NFKBIA,POLR2A,AR,KAT2B,AKT1,PCK2,HSP90AB1,ANXA1,CREB1,CEBPA,NCOR1,CHUK,NOS2,STAT5B,ADRB2,TAF12,VCAM1,NRAS,GRB2,TAF5L,ACTB,MAP3K1,MAPK8,IKBKE,CD3D,TSG101,POLR2G,TAF6L,TRAF2,MAPK14,CDKN1A,NFATC2,NCOR2,HLTF,TAF15
Hereditary Breast Cancer Signaling	1.41E01	3.73E-01	NaN	NPM1,POLR2F,PIK3R1,HDAC10,ARID2,KRAS,DDB2,PTEN,HDAC6,HDAC11,SMARCC2,BRCA1,TP53,POLR2I,AKT2,HDAC4,HDAC2,FANCG,FGFR1,CREBBP,RALB,CDK6,FGFR2,POLR2H,RPA1,FANCC,HDAC5,PALB2,HDAC3,POLR2E,H2AFX,FANCA,RALA,POLR2B,SMARCA4,MLH1,RAD50,EP300,RAD51,POLR2A,AKT1,CHEK2,HDAC9,UBB,CDC25C,NRAS,GRB2,ACTB,HDAC1,TUBG1,CDK1,POLR2G,CDKN1A,SFN,UBC,HLTF
Sirtuin Signaling Pathway	1.41E01	2.91E-01	NaN	TUBA1B,FOXO4,POLR2F,TIMM13,NDUFA9,SUV39H1,TIMM50,NDUFB8,ESRRA,NOS3,ABCA1,MYC,SCNN1A,PDHA1,NDUFS1,WRN,SIRT6,MAPK3,ZBTB14,TUBA1C,GSK3B,ATP5PB,KAT2A,POLR3D,TP53,ATP5PF,ATG5,POLR1A,POLR1B,NDUFS7,STK11,ATP5F1A,SMARCA5,PCK1,STAT3,NDUFAF2,AGTRAP,ATP5F1C,CDH1,H3F3A/H3F3B,ATP5F1B,XRCC6,SIRT1,UQCRC2,NDUFB7,VDAC1,NDUFA4,PAM16,SIRT7,HIF1A,BECN1,ATP5F1E,SIRT4,POLR1C,NDUFB9,MTOR,AKT1,PCK2,TUBA8,SP1,MAP1LC3A,TUBA3E,PDK1,NOS2,PPARG,POLR1D,NEDD4,TRIM28,GLS,TOMM20,MAPK6,TUBA4A,G6PD,TIMM23,BAX,SIRT3,NDUFA13,APP,TUBA1A,TOMM20L,NDUFS8,NDUFA11,SREBF1,CYC1,GABARAP
Estrogen Receptor Signaling	1.32E01	3.81E-01	NaN	RAF1,POLR2F,KRAS,TAF10,CTBP1,DDX5,CDK8,MAPK3,MED21,POLR2I,TAF9,MED1,CREBBP,RALB,PHB2,TBP,POLR2H,GTF2F1,RBFOX2,PCK1,HDAC3,H3F3A/H3F3B,TAF4,POLR2E,SPEN,MED31,ESR1,RALA,POLR2B,NR3C1,SMARCA4,EP300,GTF2B,KAT2B,POLR2A,PCK2,MED15,NCOR1,TAF12,SRC,NRAS,MED20,GRB2,TAF5L,HNRNPD,POLR2G,TAF6L,TRRAP,NCOR2,MED4,TAF15
14-3-3-mediated Signaling	1.28E01	3.72E-01	NaN	RAF1,TUBA1B,TSC1,RALA,YWHAH,PDIA3,PIK3R1,GSK3A,KRAS,TUBB,TUBB2B,YWHAQ,AKT1,TUBA8,MAPK3,PRKCE,TUBB4A,GFAP,TUBA1C,TUBA3E,GSK3B,PDCD6IP,SRC,AKT2,YWHAG,NRAS,YAP1,YWHAE,TNFRSF1A,TUBB4B,GRB2,YWHAB,FGFR1,STK11,TUBG1,EDC3,RALB,TUBA4A,YWHAZ,MAPK8,FGFR2,VIM,BAX,TRAF2,TUBA1A,CBL,MAPT,PLCG2,RPS6KA1,SFN,SNCA
Molecular Mechanisms of Cancer	1.18E01	2.49E-01	NaN	CDKN2A,GAB2,RAPGEF1,RAF1,RAC2,TGFBR1,AXIN1,SMAD3,SUV39H1,PIK3R1,NCSTN,GSK3A,KRAS,CDK9,MYC,IKBKG,CDK8,MAPK3,GSK3B,BRCA1,RASA1,SMAD1,ITGA4,TP53,CDK18,SMAD2,AKT2,CDK13,SMAD9,CASP3,FGFR1,TYK2,RALB,CREBBP,CDK6,FGFR2,ITGA5,AURKA,TCF3,BCL2L1,CDH1,CBL,ARHGEF16,APH1A,CDK11A,PRKACA,APH1B,CFLAR,NOTCH1,ARHGEF10,CDK2,FYN,TCF4,RALA,PA2G4,PSENEN,ARHGEF7,CDK16,ABL1,CTNNA1,CRK,PSEN2,HIF1A,FAS,BCL2,EP300,CDC25B,DIABLO,NLK,NFKBIA,AKT1,CDK5,RHOT1,CDK17,PRKCE,CTNNB1,CASP8,CHEK2,CAMK2B,BMP1,ITGB1,SRC,CDC25C,NRAS,GRB2,MAPK8,ADCY6,BAX,CDK1,BAK1,MAPK14,NF1,CDKN1A,RBPJ,CASP7,LRP1,PSEN1,CTNND1
PTEN Signaling	1.15E01	3.71E-01	NaN	FOXO4,RAC2,RAF1,CSNK2A1,TGFBR1,RALA,YWHAH,PIK3R1,ILK,INPPL1,GSK3A,KRAS,BCL2,PTEN,IKBKB,IKBKG,AKT1,MAPK3,NTRK1,RPS6KB2,CSNK2B,CHUK,GSK3B,MCRS1,EGFR,ITGA4,ITGB1,RPS6KB1,AKT2,NRAS,CASP3,GRB2,FGFR1,RALB,FGFR2,ITGA5,IKBKE,FOXG1,IGF2R,CSNK2A2,BCL2L1,CBL,MAGI1,CDKN1A,INPP5K,INSR
