"SUID","AverageShortestPathLength","BetweennessCentrality","biogrid.ALIASES","biogrid.BIOGRID_ID","biogrid.ENTREZ_GENE","biogrid.OFFICIAL_SYMBOL","biogrid.ORGANISM_ID","biogrid.SYSTEMATIC_NAME","canonicalName","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","ID","IsSingleNode","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient"
"62","3.81310289","0.0","ASCR|AltPrP|CD230|CJD|GSS|KURU|PRIP|PrP|PrP27-30|PrP33-35C|PrPc|p27-30","111606","5621","PRNP","9606","RP5-1068H6.2","PRNP","0.26225361","0.0","1","6","5621","false","PRNP","277.0","1","0","0","0.68743301","false","0","PRNP","0","0.0"
"63","4.09606109","0.0","NDNL1|PWLS|nM15","120036","54551","MAGEL2","9606",,"MAGEL2","0.24413698","0.0","1","7","54551","false","MAGEL2","76.0","1","0","0","0.65599321","false","0","MAGEL2","0","0.0"
"64","4.06069132","1.4236E-4","TESS|TESS-2","117572","26136","TES","9606",,"TES","0.24626349","0.0","2","6","26136","false","TES","51.0","2","0","0","0.65992319","false","0","TES","34010","0.51020408"
"65","3.8721865","1.2714E-4","BHLHb31|CHF2|HERP2|HESR1|HRT-1|OAF1|hHRT1","117025","23462","HEY1","9606",,"HEY1","0.25825202","0.0","2","6","23462","false","HEY1","119.0","2","0","0","0.68086817","false","0","HEY1","59764","0.53881279"
"66","3.81310289","0.0","DRR1|TU3A","116341","11170","FAM107A","9606",,"FAM107A","0.26225361","0.0","1","6","11170","false","FAM107A","277.0","1","0","0","0.68743301","false","0","FAM107A","0","0.0"
"67","3.81310289","0.0","RS1","112162","6248","RSC1A1","9606",,"RSC1A1","0.26225361","0.0","1","6","6248","false","RSC1A1","277.0","1","0","0","0.68743301","true","0","RSC1A1","0","0.0"
"68","5.64790997","0.0","ARF|CDK4I|CDKN2|CMM2|INK4|INK4A|MLM|MTS-1|MTS1|P14|P14ARF|P16|P16-INK4A|P16INK4|P16INK4A|P19|P19ARF|TP16","107463","1029","CDKN2A","9606",,"CDKN2A","0.17705665","0.0","1","8","1029","false","CDKN2A","10.0","1","0","0","0.48356556","false","0","CDKN2A","0","0.0"
"69","3.49276527","0.00166274","G3BP|HDH-VIII","115448","10146","G3BP1","9606",,"G3BP1","0.2863061","0.0","5","6","10146","false","G3BP1","104.0","5","0","0","0.72302608","false","0","G3BP1","362950","0.22687225"
"70","4.06511254","7.174E-5","HNF3A|TCF3A","109411","3169","FOXA1","9606",,"FOXA1","0.24599565","0.0","2","6","3169","false","FOXA1","68.5","2","0","0","0.65943194","false","0","FOXA1","22124","0.54435484"
"71","3.69252412","4.125E-4","C1orf22","123207","80267","EDEM3","9606",,"EDEM3","0.27081746","0.0","2","6","80267","false","EDEM3","188.0","2","0","0","0.70083065","false","0","EDEM3","67664","0.51800554"
"72","4.04421222","0.0","PORIN|VDAC-1","113259","7416","VDAC1","9606",,"VDAC1","0.24726694","0.0","1","7","7416","false","VDAC1","99.0","1","0","0","0.6617542","false","0","VDAC1","0","0.0"
"73","4.04421222","0.0","ACACT|ACAT|ACAT-1|ACAT1|SOAT|STAT","112529","6646","SOAT1","9606","RP11-215I23.1","SOAT1","0.24726694","0.0","1","7","6646","false","SOAT1","99.0","1","0","0","0.6617542","false","0","SOAT1","0","0.0"
"74","3.91237942","8.7706E-4","PDHA|PDHAD|PDHCE1A|PHE1A","111186","5160","PDHA1","9606","RP11-723P2.1","PDHA1","0.25559893","0.16666667","4","6","5160","false","PDHA1","61.5","4","0","0","0.67640229","false","0","PDHA1","154232","0.29756098"
"75","4.23874598","0.0","DLTS","108087","1743","DLST","9606",,"DLST","0.23591883","0.0","1","6","1743","false","DLST","72.0","1","0","0","0.64013934","false","0","DLST","0","0.0"
"76","4.03054662","3.0119E-4","DLDD|DLDH|E3|GCSL|LAD|PHE3","108082","1738","DLD","9606","tcag7.39","DLD","0.24810531","0.0","2","6","1738","false","DLD","53.0","2","0","0","0.6632726","false","0","DLD","25040","0.5"
"77","3.77170418","0.00187176","CEMCOX2","107747","1355","COX15","9606",,"COX15","0.26513214","0.0","4","6","1355","false","COX15","69.25","4","0","0","0.69203287","false","0","COX15","253186","0.26049618"
"78","3.90273312","6.9536E-4","","125479","116143","WDR92","9606",,"WDR92","0.25623069","0.0","2","7","116143","false","WDR92","120.0","2","0","0","0.6774741","false","0","WDR92","209890","0.51293103"
"79","4.60691318","0.0","C19orf2|NNX3|PPP1R19|RMP|URI","114264","8725","URI1","9606",,"URI1","0.21706508","0.0","1","8","8725","false","URI1","67.0","1","0","0","0.59923187","false","0","URI1","0","0.0"
"80","4.60691318","0.0","","123908","84138","SLC7A6OS","9606",,"SLC7A6OS","0.21706508","0.0","1","8","84138","false","SLC7A6OS","67.0","1","0","0","0.59923187","false","0","SLC7A6OS","0","0.0"
"81","4.31752412","0.0","HMGA1L4|HMGIYL4|IES2|PAP-1BP|PAPA-1|ZNHIT4|hIes2","123646","83444","INO80B","9606",,"INO80B","0.23161422","0.0","1","7","83444","false","INO80B","72.0","1","0","0","0.63138621","false","0","INO80B","0","0.0"
"82","4.60691318","0.0","C11orf5|FON","107200","741","ZNHIT2","9606",,"ZNHIT2","0.21706508","0.0","1","8","741","false","ZNHIT2","67.0","1","0","0","0.59923187","false","0","ZNHIT2","0","0.0"
