,SPG11,FOXRED1,NDUFAF2,NDUFA11,TIMMDC1,NDUFB9,NDUFS1,COX15,NDUFA9,NDUFS8,NDUFS7,GBA,C19orf12,COQ2,C12orf65,FA2H,POLR3B,POLR3A,WWOX,TUBB4A,MARS2,SQSTM1,AFG3L2,ATP1A3,CACNA1A,ITPR1,TTC19,MECP2,GJC2,ALDH18A1,PLP1,KIF1A,SPAST,ATL1,RTN2,KIF5A,BSCL2,DDHD2,ERLIN2,SLC33A1,HSPD1,B4GALNT1,ALS2,SPG7,GBA2,CYP7B1,ZFYVE26,PRNP,MAPT,PSEN1,ATXN10,ATXN2,TBP,DCTN1,ATXN3,FTL,LMNA,ACTA1,YARS2,GFPT1,SCARB2,SLC9A1,STUB1,GRN,PARK2,PRPH,AP5Z1,DSTYK,REEP2,DDHD1,TFG,SPG21,OPA3,KIF1C,FBXO7,DARS,ERLIN1,CAPN1,KLC2,MTPAP,FXN,PRPS1,CASK,GMPPB,PQBP1,EP300,CREBBP,OFD1,BCOR,PTEN,AKT1,FGFR2,EBP,KRAS,ACTB,SLC16A2,AP4S1,AP4M1,AP4B1,AP4E1
SPG11,37.0,8.0,8.0,5.0,5.0,5.0,5.0,7.0,7.0,7.0,7.0,11.0,14.0,12.0,11.0,12.0,9.0,9.0,6.0,8.0,6.0,10.0,7.0,5.0,6.0,9.0,6.0,11.0,12.0,14.0,14.0,13.0,11.0,16.0,12.0,15.0,16.0,11.0,9.0,5.0,11.0,12.0,13.0,16.0,15.0,12.0,18.0,10.0,5.0,4.0,4.0,8.0,5.0,10.0,8.0,9.0,6.0,5.0,3.0,2.0,3.0,2.0,6.0,4.0,3.0,4.0,9.0,5.0,7.0,9.0,8.0,7.0,8.0,7.0,6.0,5.0,8.0,7.0,5.0,3.0,5.0,6.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,4.0,4.0,4.0,8.0,4.0
FOXRED1,8.0,25.0,25.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,10.0,12.0,13.0,11.0,10.0,12.0,12.0,10.0,11.0,6.0,9.0,9.0,9.0,9.0,7.0,10.0,11.0,10.0,11.0,12.0,12.0,4.0,2.0,2.0,4.0,7.0,7.0,7.0,8.0,9.0,8.0,6.0,6.0,6.0,7.0,7.0,7.0,3.0,4.0,4.0,4.0,5.0,5.0,8.0,8.0,4.0,5.0,5.0,4.0,2.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,6.0,6.0,4.0,5.0,6.0,4.0,4.0,6.0,4.0,7.0,10.0,9.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,6.0,5.0,4.0,5.0,6.0,4.0,7.0,7.0,6.0
NDUFAF2,8.0,25.0,25.0,18.0,18.0,18.0,18.0,17.0,17.0,17.0,17.0,10.0,12.0,13.0,11.0,10.0,12.0,12.0,10.0,11.0,6.0,9.0,9.0,9.0,9.0,7.0,10.0,11.0,10.0,11.0,12.0,12.0,4.0,2.0,2.0,4.0,7.0,7.0,7.0,8.0,9.0,8.0,6.0,6.0,6.0,7.0,7.0,7.0,3.0,4.0,4.0,4.0,5.0,5.0,8.0,8.0,4.0,5.0,5.0,4.0,2.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,6.0,6.0,4.0,5.0,6.0,4.0,4.0,6.0,4.0,7.0,10.0,9.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,6.0,5.0,4.0,5.0,6.0,4.0,7.0,7.0,6.0
NDUFA11,5.0,18.0,18.0,18.0,18.0,18.0,18.0,10.0,10.0,10.0,10.0,7.0,8.0,10.0,7.0,5.0,8.0,8.0,7.0,6.0,4.0,6.0,6.0,4.0,6.0,5.0,8.0,8.0,7.0,8.0,8.0,9.0,2.0,1.0,1.0,3.0,5.0,4.0,5.0,7.0,8.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,-1.0,1.0,3.0,1.0,1.0,4.0,4.0,5.0,2.0,5.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,3.0,2.0,5.0,9.0,8.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,5.0,4.0,6.0,5.0,6.0
TIMMDC1,5.0,18.0,18.0,18.0,18.0,18.0,18.0,10.0,10.0,10.0,10.0,7.0,8.0,10.0,7.0,5.0,8.0,8.0,7.0,6.0,4.0,6.0,6.0,4.0,6.0,5.0,8.0,8.0,7.0,8.0,8.0,9.0,2.0,1.0,1.0,3.0,5.0,4.0,5.0,7.0,8.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,-1.0,1.0,3.0,1.0,1.0,4.0,4.0,5.0,2.0,5.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,3.0,2.0,5.0,9.0,8.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,5.0,4.0,6.0,5.0,6.0
NDUFB9,5.0,18.0,18.0,18.0,18.0,18.0,18.0,10.0,10.0,10.0,10.0,7.0,8.0,10.0,7.0,5.0,8.0,8.0,7.0,6.0,4.0,6.0,6.0,4.0,6.0,5.0,8.0,8.0,7.0,8.0,8.0,9.0,2.0,1.0,1.0,3.0,5.0,4.0,5.0,7.0,8.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,-1.0,1.0,3.0,1.0,1.0,4.0,4.0,5.0,2.0,5.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,3.0,2.0,5.0,9.0,8.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,5.0,4.0,6.0,5.0,6.0
NDUFS1,5.0,18.0,18.0,18.0,18.0,18.0,18.0,10.0,10.0,10.0,10.0,7.0,8.0,10.0,7.0,5.0,8.0,8.0,7.0,6.0,4.0,6.0,6.0,4.0,6.0,5.0,8.0,8.0,7.0,8.0,8.0,9.0,2.0,1.0,1.0,3.0,5.0,4.0,5.0,7.0,8.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,-1.0,1.0,3.0,1.0,1.0,4.0,4.0,5.0,2.0,5.0,4.0,3.0,1.0,2.0,3.0,2.0,1.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,3.0,1.0,3.0,2.0,5.0,9.0,8.0,3.0,4.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,5.0,4.0,6.0,5.0,6.0
COX15,7.0,17.0,17.0,10.0,10.0,10.0,10.0,18.0,17.0,17.0,17.0,11.0,9.0,10.0,9.0,8.0,9.0,9.0,8.0,10.0,5.0,6.0,5.0,8.0,7.0,6.0,6.0,8.0,8.0,10.0,10.0,9.0,3.0,1.0,1.0,3.0,6.0,6.0,5.0,4.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0,7.0,3.0,3.0,5.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,7.0,7.0,9.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,6.0,4.0,4.0,6.0,3.0,4.0,6.0,7.0,5.0
NDUFA9,7.0,17.0,17.0,10.0,10.0,10.0,10.0,17.0,17.0,17.0,17.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,7.0,9.0,5.0,6.0,5.0,8.0,7.0,6.0,6.0,7.0,8.0,9.0,9.0,8.0,3.0,1.0,1.0,3.0,6.0,6.0,5.0,4.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0,7.0,3.0,3.0,5.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,7.0,7.0,8.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,6.0,4.0,4.0,5.0,2.0,3.0,5.0,6.0,4.0
NDUFS8,7.0,17.0,17.0,10.0,10.0,10.0,10.0,17.0,17.0,17.0,17.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,7.0,9.0,5.0,6.0,5.0,8.0,7.0,6.0,6.0,7.0,8.0,9.0,9.0,8.0,3.0,1.0,1.0,3.0,6.0,6.0,5.0,4.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0,7.0,3.0,3.0,5.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,7.0,7.0,8.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,6.0,4.0,4.0,5.0,2.0,3.0,5.0,6.0,4.0
NDUFS7,7.0,17.0,17.0,10.0,10.0,10.0,10.0,17.0,17.0,17.0,17.0,10.0,9.0,10.0,9.0,8.0,9.0,9.0,7.0,9.0,5.0,6.0,5.0,8.0,7.0,6.0,6.0,7.0,8.0,9.0,9.0,8.0,3.0,1.0,1.0,3.0,6.0,6.0,5.0,4.0,6.0,6.0,4.0,4.0,4.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0,7.0,3.0,3.0,5.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,5.0,4.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,7.0,7.0,8.0,4.0,4.0,3.0,2.0,3.0,4.0,3.0,6.0,4.0,4.0,5.0,2.0,3.0,5.0,6.0,4.0
GBA,11.0,10.0,10.0,7.0,7.0,7.0,7.0,11.0,10.0,10.0,10.0,31.0,12.0,12.0,5.0,7.0,11.0,9.0,8.0,12.0,9.0,9.0,8.0,8.0,9.0,7.0,9.0,15.0,12.0,13.0,12.0,9.0,7.0,7.0,4.0,7.0,10.0,8.0,5.0,6.0,7.0,6.0,7.0,7.0,5.0,4.0,6.0,13.0,13.0,8.0,7.0,12.0,12.0,9.0,8.0,11.0,4.0,6.0,4.0,4.0,2.0,4.0,4.0,4.0,7.0,3.0,3.0,3.0,3.0,2.0,3.0,6.0,6.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,6.0,5.0,6.0,7.0,6.0,5.0,3.0,4.0,5.0,4.0,6.0,3.0,4.0,6.0,3.0,5.0,6.0,9.0,7.0
C19orf12,14.0,12.0,12.0,8.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,12.0,27.0,10.0,9.0,7.0,9.0,9.0,9.0,9.0,5.0,8.0,8.0,7.0,6.0,6.0,9.0,12.0,9.0,11.0,12.0,11.0,6.0,7.0,4.0,8.0,11.0,6.0,7.0,6.0,5.0,10.0,8.0,7.0,8.0,7.0,8.0,11.0,5.0,4.0,4.0,8.0,6.0,8.0,8.0,12.0,8.0,6.0,2.0,2.0,2.0,3.0,5.0,4.0,5.0,2.0,4.0,3.0,5.0,6.0,7.0,8.0,7.0,7.0,5.0,4.0,5.0,5.0,7.0,7.0,4.0,8.0,2.0,3.0,2.0,3.0,2.0,0.0,-1.0,2.0,0.0,3.0,2.0,1.0,1.0,4.0,5.0,5.0,8.0,5.0
COQ2,12.0,13.0,13.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,12.0,10.0,23.0,9.0,10.0,8.0,7.0,7.0,10.0,5.0,10.0,9.0,6.0,8.0,11.0,10.0,8.0,10.0,12.0,9.0,8.0,7.0,7.0,5.0,8.0,7.0,6.0,6.0,7.0,8.0,6.0,6.0,9.0,7.0,8.0,9.0,9.0,6.0,5.0,7.0,5.0,8.0,7.0,7.0,10.0,5.0,5.0,4.0,4.0,2.0,5.0,6.0,4.0,5.0,3.0,3.0,4.0,3.0,2.0,5.0,4.0,7.0,5.0,4.0,5.0,5.0,4.0,3.0,3.0,3.0,7.0,4.0,7.0,2.0,4.0,4.0,1.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,3.0,2.0,4.0,4.0,6.0
C12orf65,11.0,11.0,11.0,7.0,7.0,7.0,7.0,9.0,9.0,9.0,9.0,5.0,9.0,9.0,25.0,10.0,7.0,7.0,7.0,8.0,3.0,6.0,7.0,5.0,4.0,6.0,6.0,5.0,9.0,10.0,8.0,10.0,5.0,6.0,2.0,4.0,4.0,8.0,7.0,6.0,6.0,6.0,4.0,5.0,7.0,7.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,8.0,2.0,4.0,5.0,1.0,3.0,4.0,3.0,0.0,1.0,4.0,3.0,2.0,5.0,4.0,4.0,7.0,3.0,3.0,4.0,6.0,6.0,4.0,4.0,6.0,7.0,3.0,7.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,7.0,3.0,4.0,3.0,4.0,4.0,6.0,6.0,5.0
