project:,,,BIOGRID-ORGANISM-Homo_sapiens-3.4.158.tab2.txt,,,,,,
level:,,,1,,,,,,
nodes on this level:,,,41,,,,,,
links on this level:,,,671,,,,,,
nodes on the original network:,,,2497,,,,,,
links on the original network:,,,3451,,,,,,
are the modules projected to the original network:,,,NO,,,,,,
number of modules:,,,2,,,,,,
effective number of modules:,,,1.085841379,,,,,,
module merge correlation threshold:,,,1,,,,,,
original number of modules before merge:,,,2,,,,,,
,,,,,,,,,
Detailed module info:,,,,,,,,,
moduleId,number of nodes,eff. number of nodes,module size (sum of module assignment values),maximum module assignment value,module center nodes (nodes with maximum assignment value),,,,
ATXN3,39,16.39064,6548.0044,1197.9391,ATXN3,,,,
ARL6IP1,39,5.538989,106.99928,45.703476,ARL6IP1,,,,
,,,,,,,,,
the 10 core nodes (decreasingly ordered by the module assignment values) of the module ATXN3,,,,,,,,,
ATXN3,HSPD1,USP8,CCT5,HTT,ATXN1,AIMP1,TFG,ERLIN2,CDK16
the 10 core nodes (decreasingly ordered by the module assignment values) of the module ARL6IP1,,,,,,,,,
ARL6IP1,SPG21,PLP1,NT5C2,ATXN7,TFG,PSEN1,VAMP1,POLR3A,WDR45B
