#pathway ID	pathway description	observed gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO.0016578	histone deubiquitination	5	2.36e-09	ENSP00000261497,ENSP00000347733,ENSP00000360515,ENSP00000381590,ENSP00000397259	ATXN7,ATXN7L3,SUPT3H,TRRAP,USP22
GO.0006508	proteolysis	6	0.00478	ENSP00000261497,ENSP00000347733,ENSP00000360515,ENSP00000366482,ENSP00000381590,ENSP00000397259	ATXN7,ATXN7L3,FXN,SUPT3H,TRRAP,USP22
GO.0016573	histone acetylation	3	0.0172	ENSP00000261497,ENSP00000347733,ENSP00000360515	SUPT3H,TRRAP,USP22
GO.0051276	chromosome organization	5	0.0203	ENSP00000261497,ENSP00000347733,ENSP00000360515,ENSP00000381590,ENSP00000397259	ATXN7,ATXN7L3,SUPT3H,TRRAP,USP22
GO.0006464	cellular protein modification process	7	0.0213	ENSP00000261497,ENSP00000347733,ENSP00000349465,ENSP00000360515,ENSP00000366482,ENSP00000381590,ENSP00000397259	ATXN7,ATXN7L3,FXN,PICK1,SUPT3H,TRRAP,USP22
GO.0006996	organelle organization	7	0.0308	ENSP00000252699,ENSP00000261497,ENSP00000347733,ENSP00000360515,ENSP00000366482,ENSP00000381590,ENSP00000397259	ACTN4,ATXN7,ATXN7L3,FXN,SUPT3H,TRRAP,USP22
GO.0006139	nucleobase-containing compound metabolic process	8	0.0423	ENSP00000221996,ENSP00000261497,ENSP00000347733,ENSP00000349465,ENSP00000360515,ENSP00000366482,ENSP00000381590,ENSP00000397259	ATXN7,ATXN7L3,CRX,FXN,PICK1,SUPT3H,TRRAP,USP22
GO.0019222	regulation of metabolic process	9	0.0423	ENSP00000221996,ENSP00000252699,ENSP00000261497,ENSP00000349465,ENSP00000360515,ENSP00000366482,ENSP00000377941,ENSP00000381590,ENSP00000397259	ACTN1,ACTN4,ATXN7,ATXN7L3,CRX,FXN,PICK1,SUPT3H,USP22
GO.1902589	single-organism organelle organization	6	0.0423	ENSP00000252699,ENSP00000261497,ENSP00000347733,ENSP00000360515,ENSP00000381590,ENSP00000397259	ACTN4,ATXN7,ATXN7L3,SUPT3H,TRRAP,USP22
GO.0016043	cellular component organization	8	0.0481	ENSP00000252699,ENSP00000261497,ENSP00000347733,ENSP00000349465,ENSP00000360515,ENSP00000366482,ENSP00000381590,ENSP00000397259	ACTN4,ATXN7,ATXN7L3,FXN,PICK1,SUPT3H,TRRAP,USP22
GO.0018130	heterocycle biosynthetic process	7	0.0481	ENSP00000221996,ENSP00000261497,ENSP00000347733,ENSP00000360515,ENSP00000366482,ENSP00000381590,ENSP00000397259	ATXN7,ATXN7L3,CRX,FXN,SUPT3H,TRRAP,USP22
GO.0019438	aromatic compound biosynthetic process	7	0.0481	ENSP00000221996,ENSP00000261497,ENSP00000347733,ENSP00000360515,ENSP00000366482,ENSP00000381590,ENSP00000397259	ATXN7,ATXN7L3,CRX,FXN,SUPT3H,TRRAP,USP22
GO.0043933	macromolecular complex subunit organization	6	0.0481	ENSP00000252699,ENSP00000261497,ENSP00000347733,ENSP00000360515,ENSP00000381590,ENSP00000397259	ACTN4,ATXN7,ATXN7L3,SUPT3H,TRRAP,USP22
