#pathway ID	pathway description	observed gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO.0030433	ER-associated ubiquitin-dependent protein catabolic process	5	3.42e-07	ENSP00000276461,ENSP00000290649,ENSP00000324173,ENSP00000366395,ENSP00000384900	AMFR,ERLIN1,ERLIN2,HSPA5,SYVN1
GO.0036503	ERAD pathway	5	3.42e-07	ENSP00000276461,ENSP00000290649,ENSP00000324173,ENSP00000366395,ENSP00000384900	AMFR,ERLIN1,ERLIN2,HSPA5,SYVN1
GO.0044257	cellular protein catabolic process	5	0.00206	ENSP00000276461,ENSP00000290649,ENSP00000324173,ENSP00000366395,ENSP00000384900	AMFR,ERLIN1,ERLIN2,HSPA5,SYVN1
GO.0006508	proteolysis	6	0.00239	ENSP00000269143,ENSP00000276461,ENSP00000290649,ENSP00000324173,ENSP00000366395,ENSP00000384900	AFG3L2,AMFR,ERLIN1,ERLIN2,HSPA5,SYVN1
GO.0045541	negative regulation of cholesterol biosynthetic process	2	0.00239	ENSP00000276461,ENSP00000384900	ERLIN1,ERLIN2
GO.0032933	SREBP signaling pathway	2	0.00518	ENSP00000276461,ENSP00000384900	ERLIN1,ERLIN2
GO.0045717	negative regulation of fatty acid biosynthetic process	2	0.0103	ENSP00000276461,ENSP00000384900	ERLIN1,ERLIN2
GO.0010033	response to organic substance	7	0.0107	ENSP00000276461,ENSP00000290649,ENSP00000324173,ENSP00000348593,ENSP00000352456,ENSP00000366395,ENSP00000384900	AMFR,ERLIN1,ERLIN2,HSPA5,SLC33A1,SYVN1,ZFYVE27
GO.0030968	endoplasmic reticulum unfolded protein response	3	0.0107	ENSP00000290649,ENSP00000324173,ENSP00000366395	AMFR,HSPA5,SYVN1
GO.0034620	cellular response to unfolded protein	3	0.0108	ENSP00000290649,ENSP00000324173,ENSP00000366395	AMFR,HSPA5,SYVN1
GO.0007165	signal transduction	8	0.0345	ENSP00000240851,ENSP00000276461,ENSP00000290649,ENSP00000324173,ENSP00000348593,ENSP00000352456,ENSP00000366395,ENSP00000384900	AMFR,ERLIN1,ERLIN2,HSPA5,SLC33A1,SYVN1,TFG,ZFYVE27
GO.0044267	cellular protein metabolic process	7	0.0475	ENSP00000264071,ENSP00000269143,ENSP00000276461,ENSP00000290649,ENSP00000324173,ENSP00000366395,ENSP00000384900	AFG3L2,AMFR,ERLIN1,ERLIN2,HSPA5,SYVN1,TUBB4A
GO.0044700	single organism signaling	8	0.0475	ENSP00000240851,ENSP00000276461,ENSP00000290649,ENSP00000324173,ENSP00000348593,ENSP00000352456,ENSP00000366395,ENSP00000384900	AMFR,ERLIN1,ERLIN2,HSPA5,SLC33A1,SYVN1,TFG,ZFYVE27
GO.0050896	response to stimulus	9	0.0475	ENSP00000240851,ENSP00000269143,ENSP00000276461,ENSP00000290649,ENSP00000324173,ENSP00000348593,ENSP00000352456,ENSP00000366395,ENSP00000384900	AFG3L2,AMFR,ERLIN1,ERLIN2,HSPA5,SLC33A1,SYVN1,TFG,ZFYVE27
