#pathway ID	pathway description	observed gene count	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO.0033619	membrane protein proteolysis	5	3.76e-08	ENSP00000222266,ENSP00000294785,ENSP00000326366,ENSP00000337853,ENSP00000355747	NCSTN,PSEN1,PSEN2,PSENEN,TRAF6
GO.0031293	membrane protein intracellular domain proteolysis	4	1.42e-07	ENSP00000222266,ENSP00000294785,ENSP00000337853,ENSP00000355747	NCSTN,PSEN2,PSENEN,TRAF6
GO.0006509	membrane protein ectodomain proteolysis	4	4.04e-07	ENSP00000222266,ENSP00000294785,ENSP00000326366,ENSP00000355747	NCSTN,PSEN1,PSEN2,PSENEN
GO.0007220	Notch receptor processing	4	4.79e-07	ENSP00000222266,ENSP00000294785,ENSP00000326366,ENSP00000355747	NCSTN,PSEN1,PSEN2,PSENEN
GO.0042987	amyloid precursor protein catabolic process	3	8.11e-06	ENSP00000222266,ENSP00000294785,ENSP00000355747	NCSTN,PSEN2,PSENEN
GO.0002573	myeloid leukocyte differentiation	4	8.83e-05	ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2,TRAF6
GO.0006915	apoptotic process	7	8.83e-05	ENSP00000222266,ENSP00000261769,ENSP00000294785,ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747	CDH1,CTNNB1,NCSTN,PSEN1,PSEN2,PSENEN,TRAF6
GO.0043065	positive regulation of apoptotic process	6	8.83e-05	ENSP00000222266,ENSP00000294785,ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747	CTNNB1,NCSTN,PSEN1,PSEN2,PSENEN,TRAF6
GO.0007219	Notch signaling pathway	4	0.000301	ENSP00000222266,ENSP00000294785,ENSP00000326366,ENSP00000355747	NCSTN,PSEN1,PSEN2,PSENEN
GO.0009893	positive regulation of metabolic process	9	0.000347	ENSP00000222266,ENSP00000261769,ENSP00000276461,ENSP00000294785,ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747,ENSP00000365576	CDH1,CTNNB1,ERLIN2,NCSTN,PSEN1,PSEN2,PSENEN,TRAF6,UBQLN1
GO.0045321	leukocyte activation	5	0.000353	ENSP00000294785,ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747	CTNNB1,NCSTN,PSEN1,PSEN2,TRAF6
GO.0048468	cell development	7	0.000739	ENSP00000222266,ENSP00000261769,ENSP00000294785,ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747	CDH1,CTNNB1,NCSTN,PSEN1,PSEN2,PSENEN,TRAF6
GO.0048538	thymus development	3	0.0008	ENSP00000326366,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2
GO.0030182	neuron differentiation	6	0.000893	ENSP00000222266,ENSP00000261769,ENSP00000294785,ENSP00000326366,ENSP00000344456,ENSP00000355747	CDH1,CTNNB1,NCSTN,PSEN1,PSEN2,PSENEN
GO.0042110	T cell activation	4	0.00121	ENSP00000294785,ENSP00000326366,ENSP00000344456,ENSP00000355747	CTNNB1,NCSTN,PSEN1,PSEN2
GO.0071681	cellular response to indole-3-methanol	2	0.00121	ENSP00000261769,ENSP00000344456	CDH1,CTNNB1
GO.0006508	proteolysis	6	0.00124	ENSP00000222266,ENSP00000276461,ENSP00000326366,ENSP00000337853,ENSP00000355747,ENSP00000365576	ERLIN2,PSEN1,PSEN2,PSENEN,TRAF6,UBQLN1
GO.0048522	positive regulation of cellular process	9	0.00128	ENSP00000222266,ENSP00000261769,ENSP00000276461,ENSP00000294785,ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000355747,ENSP00000365576	CDH1,CTNNB1,ERLIN2,NCSTN,PSEN1,PSEN2,PSENEN,TRAF6,UBQLN1
GO.0016485	protein processing	4	0.0015	ENSP00000222266,ENSP00000294785,ENSP00000326366,ENSP00000355747	NCSTN,PSEN1,PSEN2,PSENEN
GO.0001708	cell fate specification	3	0.00172	ENSP00000326366,ENSP00000344456,ENSP00000355747	CTNNB1,PSEN1,PSEN2
GO.1903320	regulation of protein modification by small protein conjugation or removal	4	0.00172	ENSP00000326366,ENSP00000337853,ENSP00000344456,ENSP00000365576	CTNNB1,PSEN1,TRAF6,UBQLN1
GO.0071363	cellular response to growth factor stimulus	5	0.00176	ENSP00000222266,ENSP00000294785,ENSP00000337853,ENSP00000344456,ENSP00000355747	CTNNB1,NCSTN,PSEN2,PSENEN,TRAF6
