,nodeID,log_bc_ratio,Module Appearance Score,Cluster Y/N,Average Shortest Path Length,overall_score
2165,TFG,0.292506728,230,1,3.02773312,320.2894603623
2288,TUBB4A,0.26777974600000004,234,1,3.27893891,319.216724068172
1953,SLC33A1,0.342858809,147,1,3.5028135000000002,307.04211228769384
35,AFG3L2,0.193167334,243,1,3.23392283,302.20457098881127
275,CAPN1,0.258389663,164,1,3.25803859,287.56563963812926
1086,KIF1A,0.372792644,85,1,3.29019293,286.2444539969909
2019,SPG7,0.218653143,135,1,3.6840836,271.61061162685456
222,BSCL2,0.24672687399999998,104,1,3.81310289,268.3943363171172
1153,LMNA,0.278007308,46,1,3.83038585,253.18615208742227
1318,MTPAP,0.261561689,48,1,3.95699357,251.57042725895047
2016,SPG11,0.266058768,4,1,4.97226688,250.4888914411843
59,ALDH18A1,0.212526893,95,1,3.32194534,247.86383143385098
1560,PLP1,0.217978968,65,1,3.95498392,246.8441246231484
90,AP4E1,0.24735692399999998,42,1,3.95217042,245.21577494740194
260,CACNA1A,0.289490026,19,1,3.44573955,239.16199353405779
663,ERLIN2,0.237108283,67,1,3.04461415,238.61390600116988
579,DSTYK,0.24540284199999998,26,1,3.81229904,235.9278801613525
961,HSPD1,0.217550534,79,1,2.81350482,234.70494479493078
2465,ZFYVE26,0.213066712,12,1,4.38344051,230.39158547701152
172,ATXN10,0.213595902,35,1,3.3914790999999997,224.54264721033127
184,B4GALNT1,0.20830177100000002,7,1,4.15393891,223.47989599393094
174,ATXN2,0.190462537,64,1,2.93649518,223.18220106102245
89,AP4B1,0.141325515,47,1,4.09043408,220.98523387084424
795,GBA2,0.21973920800000002,10,1,3.64991961,219.9292999318226
1088,KIF1C,0.077310353,113,1,3.31792605,218.93736681992573
1653,PSEN1,0.201684511,30,1,3.11213826,214.93740041098906
91,AP4M1,0.110181541,42,1,4.0192926,209.4649186313447
772,FXN,0.08564817,38,1,4.50401929,208.79046362273914
2013,SPAST,0.166381748,11,1,3.77290997,207.94424951997837
1587,POLR3A,0.131449483,28,1,3.60731511,202.98954624696728
27,ADAR,0.242999788,208,0,3.28376206,201.94517027253454
235,C12orf65,0.122282894,2,1,4.1812701,198.77394613798202
1092,KIF5A,0.11404885,15,1,3.93770096,198.11990369638443
527,DDHD2,0.100542799,10,1,4.26045016,197.46815895921395
2018,SPG21,0.121861892,22,1,3.35691318,194.0470278777976
1453,OPA3,0.021787924,73,1,3.71061093,193.70129903231128
681,FA2H,0.095907479,0,1,4.31390675,192.94244406510808
92,AP4S1,0.06668972299999999,18,1,3.73271704,183.45670470870937
171,ATXN1,0.33463677399999997,105,0,2.99276527,179.60549239399904
57,ALB,0.34462244399999997,33,0,4.21583601,171.7113389045086
1842,RTN2,-0.019348046,21,1,4.16278135,168.31291834323952
526,DDHD1,-0.006432981999999999,0,1,4.28054662,164.97027238353542
103,APP,0.348354537,44,0,3.31913183,163.26751214957892
2194,TMEM17,0.343854658,23,0,3.80466238,160.9835942494312
176,ATXN3,0.03435823,0,1,3.17483923,158.6841306726862
