#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
POLR2G	POLR2D	1848338	1846274	9606.ENSP00000301788	9606.ENSP00000272645	0	0	0	0	0.127	0.997	0.900	0	0.999
CCT3	CCT5	1847605	1846664	9606.ENSP00000295688	9606.ENSP00000280326	0	0	0	0.850	0.962	0.987	0.900	0	0.999
POLR1D	TWISTNB	1848409	1842926	9606.ENSP00000302478	9606.ENSP00000222567	0	0	0	0	0.707	0.987	0.900	0	0.999
POLR2F	POLR2G	1860435	1848338	9606.ENSP00000403852	9606.ENSP00000301788	0	0	0	0	0.275	0.997	0.900	0	0.999
POLR2J	POLR2D	1847371	1846274	9606.ENSP00000292614	9606.ENSP00000272645	0	0	0	0	0.106	0.993	0.900	0	0.999
POLR2F	GTF2B	1860435	1855275	9606.ENSP00000403852	9606.ENSP00000359531	0	0	0	0	0.055	0.991	0.900	0	0.999
POLR2F	POLR2B	1860435	1849572	9606.ENSP00000403852	9606.ENSP00000312735	0	0	0	0	0.120	0.997	0.900	0	0.999
POLR2J	POLR2E	1847371	1842493	9606.ENSP00000292614	9606.ENSP00000215587	0	0	0	0	0.700	0.993	0.900	0	0.999
POLR2F	POLR2A	1860435	1849743	9606.ENSP00000403852	9606.ENSP00000314949	0	0	0	0	0.099	0.996	0.900	0	0.999
POLR2B	POLR2G	1849572	1848338	9606.ENSP00000312735	9606.ENSP00000301788	0	0	0	0	0.055	0.997	0.900	0	0.999
POLR2B	POLR2J	1849572	1847371	9606.ENSP00000312735	9606.ENSP00000292614	0	0	0	0	0.098	0.997	0.900	0	0.999
POLR2I	POLR2E	1842866	1842493	9606.ENSP00000221859	9606.ENSP00000215587	0	0	0	0	0.199	0.997	0.900	0	0.999
POLR2F	POLR2C	1860435	1842734	9606.ENSP00000403852	9606.ENSP00000219252	0	0	0	0	0.254	0.997	0.900	0	0.999
POLR2L	POLR2H	1850615	1847696	9606.ENSP00000324124	9606.ENSP00000296223	0	0	0	0	0.273	0.989	0.900	0	0.999
CCT3	CCT8	1847605	1847035	9606.ENSP00000295688	9606.ENSP00000286788	0	0	0	0.734	0.958	0.989	0.900	0	0.999
POLR1C	POLR3B	1855670	1843139	9606.ENSP00000361465	9606.ENSP00000228347	0	0	0	0	0.704	0.989	0.900	0	0.999
POLR3F	POLR1C	1856714	1855670	9606.ENSP00000366828	9606.ENSP00000361465	0	0	0	0	0.269	0.987	0.900	0	0.999
IARS	QARS	1856347	1848971	9606.ENSP00000364794	9606.ENSP00000307567	0	0	0	0	0.444	0.987	0.900	0	0.999
POLR2J	POLR2I	1847371	1842866	9606.ENSP00000292614	9606.ENSP00000221859	0	0	0	0	0.329	0.990	0.900	0	0.999
POLR2H	POLR2C	1847696	1842734	9606.ENSP00000296223	9606.ENSP00000219252	0	0	0	0	0.174	0.989	0.900	0	0.999
POLR1C	POLR2E	1855670	1842493	9606.ENSP00000361465	9606.ENSP00000215587	0	0	0	0	0.266	0.987	0.900	0	0.999
WDR48	USP12	1848962	1846786	9606.ENSP00000307491	9606.ENSP00000282344	0	0	0	0	0.407	0.993	0.900	0	0.999
POLR3H	POLR1D	1853162	1848409	9606.ENSP00000347345	9606.ENSP00000302478	0	0	0	0	0.286	0.987	0.900	0	0.999
POLR2H	POLR2I	1847696	1842866	9606.ENSP00000296223	9606.ENSP00000221859	0	0	0	0	0.271	0.989	0.900	0	0.999
POLR2A	POLR2B	1849743	1849572	9606.ENSP00000314949	9606.ENSP00000312735	0	0	0	0	0.954	0.996	0.900	0	0.999
POLR1E	POLR1A	1856755	1845426	9606.ENSP00000367029	9606.ENSP00000263857	0	0	0	0	0.887	0.968	0.900	0	0.999
POLR2G	POLR2I	1848338	1842866	9606.ENSP00000301788	9606.ENSP00000221859	0	0	0	0	0.211	0.998	0.900	0	0.999
ZNRD1	POLR2H	1851312	1847696	9606.ENSP00000331111	9606.ENSP00000296223	0	0	0	0	0.464	0.987	0.900	0	0.999
POLR2G	POLR2J	1848338	1847371	9606.ENSP00000301788	9606.ENSP00000292614	0	0	0	0	0.182	0.997	0.900	0	0.999
POLR2F	POLR2E	1860435	1842493	9606.ENSP00000403852	9606.ENSP00000215587	0	0	0	0	0.688	0.997	0.900	0	0.999
CCT2	CCT7	1848044	1844568	9606.ENSP00000299300	9606.ENSP00000258091	0	0	0	0.852	0.969	0.977	0.900	0	0.999
CCT4	CCT8	1858199	1847035	9606.ENSP00000377958	9606.ENSP00000286788	0	0	0	0.767	0.958	0.958	0.900	0	0.999
CCT2	CCT3	1848044	1847605	9606.ENSP00000299300	9606.ENSP00000295688	0	0	0	0.777	0.968	0.987	0.900	0	0.999
POLR1E	POLR1B	1856755	1845333	9606.ENSP00000367029	9606.ENSP00000263331	0	0	0	0	0.874	0.965	0.900	0	0.999
POLR1C	POLR1B	1855670	1845333	9606.ENSP00000361465	9606.ENSP00000263331	0	0	0	0	0.727	0.987	0.900	0	0.999
POLR2B	POLR2I	1849572	1842866	9606.ENSP00000312735	9606.ENSP00000221859	0	0	0	0	0.083	0.998	0.900	0	0.999
POLR2C	POLR2E	1842734	1842493	9606.ENSP00000219252	9606.ENSP00000215587	0	0	0	0	0.249	0.997	0.900	0	0.999
TAF8	TAF10	1855796	1848061	9606.ENSP00000362068	9606.ENSP00000299424	0	0	0	0	0.050	0.993	0.900	0	0.999
TCP1	CCT3	1849952	1847605	9606.ENSP00000317334	9606.ENSP00000295688	0	0	0	0.836	0.896	0.965	0.900	0	0.999
POLR1C	TWISTNB	1855670	1842926	9606.ENSP00000361465	9606.ENSP00000222567	0	0	0	0	0.723	0.987	0.900	0	0.999
GTF2F2	POLR2C	1852373	1842734	9606.ENSP00000340823	9606.ENSP00000219252	0	0	0	0	0.055	0.991	0.900	0	0.999
AIMP1	QARS	1858222	1848971	9606.ENSP00000378191	9606.ENSP00000307567	0	0	0	0	0.238	0.992	0.900	0	0.999
CCT5	CCT6A	1846664	1846449	9606.ENSP00000280326	9606.ENSP00000275603	0	0	0	0.801	0.963	0.934	0.900	0	0.999
AIMP1	RARS	1858222	1843297	9606.ENSP00000378191	9606.ENSP00000231572	0	0	0	0	0.224	0.992	0.900	0	0.999
POLR2H	POLR2J	1847696	1847371	9606.ENSP00000296223	9606.ENSP00000292614	0	0	0	0	0.443	0.989	0.900	0	0.999
POLR2G	POLR2H	1848338	1847696	9606.ENSP00000301788	9606.ENSP00000296223	0	0	0	0	0.304	0.989	0.900	0	0.999
POLR2K	POLR2J	1852637	1847371	9606.ENSP00000342889	9606.ENSP00000292614	0	0	0	0	0.269	0.989	0.900	0	0.999
POLR1C	POLR2H	1855670	1847696	9606.ENSP00000361465	9606.ENSP00000296223	0	0	0	0	0.307	0.987	0.900	0	0.999
CCT6A	CCT7	1846449	1844568	9606.ENSP00000275603	9606.ENSP00000258091	0	0	0	0.794	0.928	0.921	0.900	0	0.999
POLR2B	POLR2C	1849572	1842734	9606.ENSP00000312735	9606.ENSP00000219252	0	0	0	0	0.691	0.989	0.900	0	0.999
POLR1B	POLR2E	1845333	1842493	9606.ENSP00000263331	9606.ENSP00000215587	0	0	0	0	0.284	0.987	0.900	0	0.999
CCT2	CCT5	1848044	1846664	9606.ENSP00000299300	9606.ENSP00000280326	0	0	0	0.829	0.964	0.988	0.900	0	0.999
GTF2B	POLR2G	1855275	1848338	9606.ENSP00000359531	9606.ENSP00000301788	0	0	0	0	0.069	0.991	0.900	0	0.999
EPRS	AIMP2	1854472	1842954	9606.ENSP00000355890	9606.ENSP00000223029	0	0	0	0	0.130	0.991	0.900	0	0.999
LARS	EPRS	1858198	1854472	9606.ENSP00000377954	9606.ENSP00000355890	0	0	0	0	0.961	0.922	0.900	0	0.999
HSPD1	HSPE1	1852284	1843372	9606.ENSP00000340019	9606.ENSP00000233893	0	0	0	0	0.987	0.984	0	0	0.999
GTF2B	TBP	1855275	1843249	9606.ENSP00000359531	9606.ENSP00000230354	0	0	0	0	0.180	0.993	0.900	0	0.999
EPRS	MARS	1854472	1845042	9606.ENSP00000355890	9606.ENSP00000262027	0	0	0	0	0.871	0.973	0.900	0	0.999
CCT6B	CCT2	1850900	1848044	9606.ENSP00000327191	9606.ENSP00000299300	0	0	0	0.761	0.952	0.981	0.900	0	0.999
POLR2A	POLR2I	1849743	1842866	9606.ENSP00000314949	9606.ENSP00000221859	0	0	0	0	0.155	0.996	0.900	0	0.999
POLR3F	POLR1D	1856714	1848409	9606.ENSP00000366828	9606.ENSP00000302478	0	0	0	0	0.367	0.987	0.900	0	0.999
CCT4	CCT6A	1858199	1846449	9606.ENSP00000377958	9606.ENSP00000275603	0	0	0	0.789	0.965	0.975	0.900	0	0.999
POLR2H	POLR2E	1847696	1842493	9606.ENSP00000296223	9606.ENSP00000215587	0	0	0	0	0.464	0.989	0.900	0	0.999
TAF2	TAF1	1856824	1846471	9606.ENSP00000367406	9606.ENSP00000276072	0	0	0	0	0.697	0.989	0.900	0	0.999
TUBA1B	TUBB2B	1851928	1844727	9606.ENSP00000336799	9606.ENSP00000259818	0	0	0	0.918	0.739	0.971	0.900	0	0.999
POLR2G	POLR2C	1848338	1842734	9606.ENSP00000301788	9606.ENSP00000219252	0	0	0	0	0.122	0.997	0.900	0	0.999
CCT6B	CCT3	1850900	1847605	9606.ENSP00000327191	9606.ENSP00000295688	0	0	0	0.816	0.951	0.956	0.900	0	0.999
SUPT5H	POLR2A	1860450	1849743	9606.ENSP00000404029	9606.ENSP00000314949	0	0	0	0	0.277	0.992	0.900	0	0.999
GTF2F2	POLR2E	1852373	1842493	9606.ENSP00000340823	9606.ENSP00000215587	0	0	0	0	0.073	0.997	0.900	0	0.999
CCT4	CCT3	1858199	1847605	9606.ENSP00000377958	9606.ENSP00000295688	0	0	0	0.856	0.965	0.987	0.900	0	0.999
TCP1	CCT5	1849952	1846664	9606.ENSP00000317334	9606.ENSP00000280326	0	0	0	0.816	0.961	0.972	0.900	0	0.999
POLR1E	POLR1C	1856755	1855670	9606.ENSP00000367029	9606.ENSP00000361465	0	0	0	0	0.739	0.965	0.900	0	0.999
POLR3F	POLR2E	1856714	1842493	9606.ENSP00000366828	9606.ENSP00000215587	0	0	0	0	0.266	0.987	0.900	0	0.999
POLR1C	POLR1D	1855670	1848409	9606.ENSP00000361465	9606.ENSP00000302478	0	0	0	0	0.464	0.989	0.900	0	0.999
CCT4	CCT2	1858199	1848044	9606.ENSP00000377958	9606.ENSP00000299300	0	0	0	0.811	0.971	0.989	0.900	0	0.999
POLR2G	POLR2E	1848338	1842493	9606.ENSP00000301788	9606.ENSP00000215587	0	0	0	0	0.180	0.997	0.900	0	0.999
POLR2F	POLR1C	1860435	1855670	9606.ENSP00000403852	9606.ENSP00000361465	0	0	0	0	0.356	0.987	0.900	0	0.999
TAF2	TBP	1856824	1843249	9606.ENSP00000367406	9606.ENSP00000230354	0	0	0	0	0.057	0.992	0.900	0	0.999
POLR1D	POLR2E	1848409	1842493	9606.ENSP00000302478	9606.ENSP00000215587	0	0	0	0	0.796	0.987	0.900	0	0.999
TCP1	CCT8	1849952	1847035	9606.ENSP00000317334	9606.ENSP00000286788	0	0	0	0.792	0.881	0.970	0.900	0	0.999
POLR2F	POLR2H	1860435	1847696	9606.ENSP00000403852	9606.ENSP00000296223	0	0	0	0	0.402	0.989	0.900	0	0.999
CCT5	MKKS	1846664	1843796	9606.ENSP00000280326	9606.ENSP00000246062	0	0	0	0	0.948	0.834	0.900	0	0.999
CCT6B	CCT8	1850900	1847035	9606.ENSP00000327191	9606.ENSP00000286788	0	0	0	0.711	0.952	0.943	0.900	0	0.999
CCT4	CCT5	1858199	1846664	9606.ENSP00000377958	9606.ENSP00000280326	0	0	0	0.889	0.967	0.984	0.900	0	0.999
GTF2F2	POLR2J	1852373	1847371	9606.ENSP00000340823	9606.ENSP00000292614	0	0	0	0	0.074	0.990	0.900	0	0.999
CCT6B	CCT5	1850900	1846664	9606.ENSP00000327191	9606.ENSP00000280326	0	0	0	0.804	0.952	0.934	0.900	0	0.999
GTF2F2	POLR2G	1852373	1848338	9606.ENSP00000340823	9606.ENSP00000301788	0	0	0	0	0.065	0.997	0.900	0	0.999
POLR2D	POLR2I	1846274	1842866	9606.ENSP00000272645	9606.ENSP00000221859	0	0	0	0	0.102	0.998	0.900	0	0.999
AIMP1	EPRS	1858222	1854472	9606.ENSP00000378191	9606.ENSP00000355890	0	0	0	0	0.474	0.988	0.900	0	0.999
TCP1	CCT2	1849952	1848044	9606.ENSP00000317334	9606.ENSP00000299300	0	0	0	0.846	0.966	0.977	0.900	0	0.999
POLR2K	POLR2H	1852637	1847696	9606.ENSP00000342889	9606.ENSP00000296223	0	0	0	0	0.261	0.989	0.900	0	0.999
POLR1A	TWISTNB	1845426	1842926	9606.ENSP00000263857	9606.ENSP00000222567	0	0	0	0	0.667	0.987	0.900	0	0.999
CCT5	CCT7	1846664	1844568	9606.ENSP00000280326	9606.ENSP00000258091	0	0	0	0.812	0.958	0.972	0.900	0	0.999
POLR1D	POLR1A	1848409	1845426	9606.ENSP00000302478	9606.ENSP00000263857	0	0	0	0	0.269	0.987	0.900	0	0.999
POLR1E	TWISTNB	1856755	1842926	9606.ENSP00000367029	9606.ENSP00000222567	0	0	0	0	0.952	0.948	0.900	0	0.999
POLR2F	POLR2D	1860435	1846274	9606.ENSP00000403852	9606.ENSP00000272645	0	0	0	0	0.107	0.990	0.900	0	0.999
CCT3	CCT6A	1847605	1846449	9606.ENSP00000295688	9606.ENSP00000275603	0	0	0	0.822	0.966	0.956	0.900	0	0.999
CCT8	CCT7	1847035	1844568	9606.ENSP00000286788	9606.ENSP00000258091	0	0	0	0.752	0.891	0.970	0.900	0	0.999
POLR2J	POLR2C	1847371	1842734	9606.ENSP00000292614	9606.ENSP00000219252	0	0	0	0	0.233	0.997	0.900	0	0.999
POLR2L	POLR2I	1850615	1842866	9606.ENSP00000324124	9606.ENSP00000221859	0	0	0	0	0.182	0.989	0.900	0	0.999
POLR2K	POLR2E	1852637	1842493	9606.ENSP00000342889	9606.ENSP00000215587	0	0	0	0	0.219	0.989	0.900	0	0.999
POLR3A	POLR3B	1855667	1843139	9606.ENSP00000361446	9606.ENSP00000228347	0	0	0	0	0.953	0.924	0.900	0	0.999
CCT8	CCT6A	1847035	1846449	9606.ENSP00000286788	9606.ENSP00000275603	0	0	0	0.715	0.963	0.943	0.900	0	0.999
POLR2A	POLR2G	1849743	1848338	9606.ENSP00000314949	9606.ENSP00000301788	0	0	0	0	0.060	0.996	0.900	0	0.999
CCT8	CCT5	1847035	1846664	9606.ENSP00000286788	9606.ENSP00000280326	0	0	0	0.792	0.954	0.958	0.900	0	0.999
ZNRD1	POLR1D	1851312	1848409	9606.ENSP00000331111	9606.ENSP00000302478	0	0	0	0	0.952	0.949	0.900	0	0.999
POLR3H	POLR2H	1853162	1847696	9606.ENSP00000347345	9606.ENSP00000296223	0	0	0	0	0.257	0.987	0.900	0	0.999
TAF1	TAF12	1846471	1845448	9606.ENSP00000276072	9606.ENSP00000263974	0	0	0	0	0.125	0.989	0.900	0	0.999
POLR1A	POLR1B	1845426	1845333	9606.ENSP00000263857	9606.ENSP00000263331	0	0	0	0	0.953	0.987	0.900	0	0.999
CCT4	CCT7	1858199	1844568	9606.ENSP00000377958	9606.ENSP00000258091	0	0	0	0.856	0.970	0.967	0.900	0	0.999
POLR2F	POLR2K	1860435	1852637	9606.ENSP00000403852	9606.ENSP00000342889	0	0	0	0	0.268	0.989	0.900	0	0.999
POLR3F	POLR3B	1856714	1843139	9606.ENSP00000366828	9606.ENSP00000228347	0	0	0	0	0.281	0.987	0.900	0	0.999
POLR3C	POLR3B	1851737	1843139	9606.ENSP00000334564	9606.ENSP00000228347	0	0	0	0	0.351	0.987	0.900	0	0.999
TAF1L	TAF5	1861354	1855115	9606.ENSP00000418379	9606.ENSP00000358854	0	0	0	0	0.254	0.989	0.900	0	0.999
GTF2B	GTF2F2	1855275	1852373	9606.ENSP00000359531	9606.ENSP00000340823	0	0	0	0	0.092	0.992	0.900	0	0.999
POLR2L	POLR2E	1850615	1842493	9606.ENSP00000324124	9606.ENSP00000215587	0	0	0	0	0.385	0.989	0.900	0	0.999
POLR2I	POLR2C	1842866	1842734	9606.ENSP00000221859	9606.ENSP00000219252	0	0	0	0	0.124	0.998	0.900	0	0.999
